,AirwayEpithelial,AT1,AT2,BronchoFibroblast,AlveolarFibroblast,MyoFB,Pericyte,SMC,Artery,Vein,Capillary,AlveolarMac,InterstitialMac,InflamMac,PatrolMac,mucosalDC,perivascularDC,pDC,Neutrophil,Tcell,Bcell
0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
2,0.5161290322580645,0.0,0.010752688172043,0.032258064516129,0.053763440860215,0.010752688172043,0.0,0.053763440860215,0.0,0.010752688172043,0.0,0.0,0.053763440860215,0.053763440860215,0.032258064516129,0.0,0.0,0.0,0.032258064516129,0.1075268817204301,0.032258064516129
3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
8,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
3,0.6235294117647059,0.0,0.0,0.0,0.0117647058823529,0.0235294117647058,0.0235294117647058,0.0470588235294117,0.0,0.0352941176470588,0.0,0.0,0.0117647058823529,0.0,0.0117647058823529,0.0470588235294117,0.0117647058823529,0.0,0.0235294117647058,0.1294117647058823,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.25,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
7,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
1,0.0,0.0,0.1363636363636363,0.0454545454545454,0.0454545454545454,0.0,0.2727272727272727,0.0,0.1818181818181818,0.0,0.0,0.1363636363636363,0.0454545454545454,0.0909090909090909,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0
2,0.0,0.0,0.5714285714285714,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.0555555555555555,0.0,0.1666666666666666,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0
4,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.1666666666666666,0.1666666666666666,0.0,0.25,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6511627906976745,0.0,0.0,0.0,0.0,0.0,0.0697674418604651,0.0465116279069767,0.0,0.1162790697674418,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0,0.0232558139534883,0.0,0.0,0.0232558139534883,0.0
6,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
8,0.6727272727272727,0.0,0.0,0.0181818181818181,0.0181818181818181,0.0,0.0,0.0545454545454545,0.0,0.0,0.0181818181818181,0.0,0.0,0.0545454545454545,0.0545454545454545,0.0,0.0,0.0,0.0181818181818181,0.0727272727272727,0.0181818181818181
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0769230769230769,0.0,0.3076923076923077,0.0,0.0769230769230769,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0
11,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0714285714285714,0.0,0.2142857142857142,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0714285714285714,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.054054054054054,0.1081081081081081,0.0,0.081081081081081,0.054054054054054,0.1351351351351351,0.0,0.1621621621621621,0.1351351351351351,0.0,0.054054054054054,0.081081081081081,0.0,0.027027027027027,0.027027027027027,0.054054054054054,0.0,0.0,0.027027027027027,0.0
1,0.0,0.1666666666666666,0.5,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.125
3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0,0.0,0.0769230769230769,0.1153846153846153,0.0096153846153846,0.048076923076923,0.048076923076923,0.2019230769230769,0.0384615384615384,0.1442307692307692,0.048076923076923,0.0192307692307692,0.0576923076923076,0.0288461538461538,0.0384615384615384,0.0288461538461538,0.0096153846153846,0.0288461538461538,0.0096153846153846,0.0096153846153846,0.0,0.0384615384615384
1,0.0,0.0,0.3333333333333333,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0
2,0.0,0.1388888888888889,0.1388888888888889,0.0,0.0277777777777777,0.0,0.1666666666666666,0.0,0.25,0.0277777777777777,0.0277777777777777,0.0,0.0,0.0277777777777777,0.0277777777777777,0.0,0.0555555555555555,0.0,0.0833333333333333,0.0277777777777777,0.0
3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
5,0.0,0.0,0.0625,0.0,0.0,0.0625,0.1875,0.0625,0.1875,0.0,0.125,0.1875,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
6,0.0,0.1304347826086956,0.0869565217391304,0.0,0.0434782608695652,0.0,0.1739130434782608,0.0,0.1304347826086956,0.1304347826086956,0.0869565217391304,0.0,0.0869565217391304,0.0434782608695652,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0434782608695652
7,0.4545454545454545,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0324324324324324,0.0864864864864864,0.0108108108108108,0.027027027027027,0.0378378378378378,0.1189189189189189,0.0378378378378378,0.1621621621621621,0.0756756756756756,0.0432432432432432,0.0702702702702702,0.0594594594594594,0.0648648648648648,0.0324324324324324,0.0216216216216216,0.0378378378378378,0.0324324324324324,0.0054054054054054,0.0216216216216216,0.0216216216216216
2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
3,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0
5,0.0,0.0,0.125,0.0,0.0,0.125,0.0833333333333333,0.0,0.0416666666666666,0.0,0.0,0.0416666666666666,0.0416666666666666,0.25,0.0416666666666666,0.0416666666666666,0.1666666666666666,0.0,0.0,0.0416666666666666,0.0
6,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.3636363636363636,0.0909090909090909,0.0,0.1818181818181818,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909
7,0.0,0.0909090909090909,0.0909090909090909,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
1,0.019108280254777,0.0509554140127388,0.1146496815286624,0.0063694267515923,0.019108280254777,0.0127388535031847,0.1146496815286624,0.0828025477707006,0.10828025477707,0.0764331210191082,0.0127388535031847,0.0573248407643312,0.0573248407643312,0.0318471337579617,0.0318471337579617,0.0700636942675159,0.0254777070063694,0.0318471337579617,0.019108280254777,0.0254777070063694,0.0318471337579617
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428
5,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0
6,0.0,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
8,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
9,0.0,0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.1,0.15,0.0,0.0,0.1,0.1,0.0,0.35,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
11,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.0
12,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
1,0.0065645514223194,0.0131291028446389,0.0853391684901531,0.0853391684901531,0.0459518599562363,0.0350109409190372,0.0700218818380744,0.0459518599562363,0.0196936542669584,0.037199124726477,0.0087527352297593,0.0175054704595186,0.0831509846827133,0.1641137855579868,0.0503282275711159,0.0065645514223194,0.0153172866520787,0.0328227571115973,0.0809628008752735,0.0656455142231947,0.0306345733041575
2,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0262008733624454,0.1353711790393013,0.0436681222707423,0.0349344978165938,0.0349344978165938,0.0917030567685589,0.0480349344978165,0.1222707423580786,0.0698689956331877,0.0087336244541484,0.0436681222707423,0.0655021834061135,0.0960698689956331,0.0393013100436681,0.0131004366812227,0.0262008733624454,0.0087336244541484,0.0436681222707423,0.0131004366812227,0.0349344978165938
5,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
8,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
9,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
10,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0236686390532544,0.0946745562130177,0.0118343195266272,0.0236686390532544,0.0177514792899408,0.1005917159763313,0.0236686390532544,0.2248520710059171,0.1124260355029585,0.0355029585798816,0.0355029585798816,0.0473372781065088,0.0710059171597633,0.0118343195266272,0.0177514792899408,0.0650887573964497,0.0177514792899408,0.0177514792899408,0.0059171597633136,0.0414201183431952
2,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.2666666666666666,0.0666666666666666,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0666666666666666
3,0.0,0.0,0.1428571428571428,0.0,0.2142857142857142,0.0,0.1428571428571428,0.0,0.0714285714285714,0.0,0.0714285714285714,0.2142857142857142,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0
4,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0666666666666666,0.0,0.0,0.0666666666666666,0.0,0.1333333333333333,0.1333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.2,0.0,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.024390243902439,0.2439024390243902,0.048780487804878,0.024390243902439,0.024390243902439,0.048780487804878,0.0,0.1219512195121951,0.1219512195121951,0.048780487804878,0.073170731707317,0.048780487804878,0.048780487804878,0.024390243902439,0.0,0.048780487804878,0.0,0.0,0.0,0.048780487804878
7,0.0,0.0,0.1538461538461538,0.0,0.0,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.2307692307692307,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0512820512820512,0.1282051282051282,0.0,0.0,0.0,0.1025641025641025,0.0512820512820512,0.1794871794871795,0.1538461538461538,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0512820512820512
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
