,AirwayEpithelial,AT1,AT2,BronchoFibroblast,AlveolarFibroblast,MyoFB,Pericyte,SMC,Artery,Vein,Capillary,AlveolarMac,InterstitialMac,InflamMac,PatrolMac,mucosalDC,perivascularDC,pDC,Neutrophil,Tcell,Bcell
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,2,2,4,1,3,1,0,0,1,1,2,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,3,0,5,0,2,3,1,2,0,0,0,1,0,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,1,1,0,0,1,3,5,3,1,0,1,1,0,2,4,1,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,8,0,0,3,1,1,1,0,0,2,4,1,0,0,0,6,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,1,1,2,1,2,1,0,0,1,0,1,0,1,1,0,1,1,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,5,3,0,1,0,0,0,1,3,0,1,0,3
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1,,,,,0,,0,0,,0,,0,,,,,,0,1,
7,0,,0,0,,,,0,0,0,,,,,,,,,,0,
8,0,0,0,0,0,0,0,0,,0,1,0,1,1.0000000009999999,0,,,0,0,0,0
9,0,,,0,,0,0,0,0,,0,0,0,0,,0,,0,,0,0
0,0,,,,,,,,0,0,0,,,,,,,,,,
1,0,0,,0,0,0,,0,0,0,,,0,,,,,,0,,0
2,0,0,0,0,0,0,1,0,0,,0,,0,0,0,0,0,,,0,0
3,0.25,,0,,0.75,0,0,0,1,,,0,0,0,,,,,,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1
5,0,,,,,0,,,,,,,,,,,0,,0,0,
6,0,,,,,,,,0,,1,,,0,,0,,,0,0,
7,0,0,0,0,0,0,0,,0,0,4.000000002,0,0,0,0,,,0,0,,
0,0,0,0,0,0,0,0,0,0,1.6,1,0,0,0,0,0,1,0,0,0,1
1,0,0,,0,,0,0,,1,0,0,0,0,0,,,0,,,1,0
2,0,0,0,0,0,0,0,0,5.400000001,0,0,0,0,0,0,0,0,,0,,0
3,0,0,0,,0,0,0,0,2,0,,0,0,0,0,,,0,,0,0
0,0,0,,0,,,0,,0,,0,,0,0,0,,,,,0,0
1,0,,,0.25,0,,,,,,,,0,,,,,,,0,
2,0,,0,,0,,1,0,0,0,0,,,0,,,,,,0.9999999999999996,0
3,0,0,,,0,0,0,,0,,0,,,0,0,,,,,,0
4,0,0,0,,0,0,0.9999999999999996,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,0,0,,0,,0,0,0,0,0,0,,0,0,,0,0,,,,0
6,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0
0,0,0,0,0,0,0,0,,5.95,0,0,0,0,0,,,0,,0,0,1
1,0,0.9999999999999996,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0
2,0,0.332,1.1620000000000001,0,0,0,0,0,4.9000000009999995,5,0,0,0,1,1,0,0,0,,0,0
3,,0,0,,0,0,0,0,0,2.5,0,0,,0,0,0,0,,,,0
4,,0,0,0,0,0,0.7777777777777777,,0,,,0,0,0,0,0,,0,,0,0
5,,0,0,,,,0,,0,0,0,,,,,,,,,,0
6,,0,0.8,,,0,0,,0,,,0,,0,,,,,,,
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
