,AirwayEpithelial,AT1,AT2,BronchoFibroblast,AlveolarFibroblast,MyoFB,Pericyte,SMC,Artery,Vein,Capillary,AlveolarMac,InterstitialMac,InflamMac,PatrolMac,mucosalDC,perivascularDC,pDC,Neutrophil,Tcell,Bcell
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5333333333333333,0,0,0.033333333,0.055555556,0,0,0.055555556,0,0,0,0,0.055555556,0.055555556,0.033333333,0,0,0,0.033333333,0.1111111111111111,0.033333333
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.654320988,0,0,0,0,0.024691358024691357,0.024691358024691357,0.049382716,0,0.037037037037037035,0,0,0,0,0,0.049382716,0,0,0.024691358024691357,0.13580246913580246,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.16666666666666666,0,0,0,0.3333333333333333,0,0.2222222222222222,0,0,0.16666666666666666,0,0.1111111111111111,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.3076923076923077,0,0.46153846153846156,0,0,0,0,0.23076923076923078,0,0,0,0,0,0,0
4,0,0,0,0,0,0.2857142857142857,0.2857142857142857,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0
5,0.7368421052631579,0,0,0,0,0,0.078947368,0.052631579,0,0.13157894736842105,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.74,0,0,0,0,0,0,0.06,0,0,0,0,0,0.06,0.06,0,0,0,0,0.08,0
10,0,0,0.4,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
12,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0.058823529411764705,0.11764705882352941,0,0.088235294,0.058823529411764705,0.14705882352941177,0,0.17647058823529413,0.14705882352941177,0,0.058823529411764705,0.088235294,0,0,0,0.058823529411764705,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
0,0,0.08,0.12,0,0.05,0.05,0.21,0.04,0.15,0.05,0.02,0.06,0.03,0.04,0.03,0,0.03,0,0,0,0.04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.16666666666666666,0.16666666666666666,0,0,0,0.2,0,0.3,0,0,0,0,0,0,0,0.066666667,0,0.1,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.2727272727272727,0,0.2727272727272727,0,0.18181818181818182,0.2727272727272727,0,0,0,0,0,0,0,0,0
6,0,0.15789473684210525,0.10526315789473684,0,0,0,0.21052631578947367,0,0.15789473684210525,0.15789473684210525,0.10526315789473684,0,0.10526315789473684,0,0,0,0,0,0,0,0
7,0.5,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.032608696,0.086956522,0.010869565217391304,0.027173913,0.038043478,0.11956521739130435,0.038043478,0.16304347826086957,0.076086957,0.043478260869565216,0.070652174,0.059782608695652176,0.065217391,0.032608696,0.021739130434782608,0.038043478,0.032608696,0,0.021739130434782608,0.021739130434782608
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.16666666666666666,0,0,0.16666666666666666,0.1111111111111111,0,0,0,0,0,0,0.3333333333333333,0,0,0.2222222222222222,0,0,0,0
6,0,0,0.25,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0
1,0.019230769230769232,0.051282051,0.11538461538461539,0,0.019230769230769232,0.012820513,0.11538461538461539,0.083333333,0.10897435897435898,0.076923077,0.012820513,0.057692307692307696,0.057692307692307696,0.032051282,0.032051282,0.070512821,0.025641026,0.032051282,0.019230769230769232,0.025641026,0.032051282
